Sl no,Product,User Query,Product Responses
1,Save,How to complete my Min KYC?,"
To complete your Min KYC for  IndusInd Zinger Multiwallet Card:
1. Download Zaggle Mobile App, Login /Signup with your registred mobile no.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. A popup will appear prompting you to complete the Min KYC and Card Activation process.
4. Click on ""Min KYC & Card Activation"" and fill in the required details for the Min KYC process.
5. Ensure to select the checkbox for consent and proceed to click on “Send OTP”. An OTP will be sent to your registered mobile number.
6. Enter the OTP and click on ""CONFIRM"". Your Min KYC will be completed successfully.
7. Your card will then be successfully added and displayed in the Zaggle Cards section.
If user select the second answer, show below answer.
To complete your Min KYC for Yes Bank Zinger Multiwallet Card:
1. Download Zaggle Mobile App, Login /Signup with your registred mobile no.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. A popup will appear prompting you to complete the Yes Bank Account Registration & Min KYC  process.
4. Click on ""Yes Bank Account Registration and Min KYC"" and provide the necessary details  for the Min KYC process.
5. Ensure to consent to providing your Aadhaar number for Min KYC by selecting the checkbox.
6. Click on ""Submit"". Your Min KYC process will be successfully completed.
7.  Your card will then be added and displayed in the Zaggle Cards section."
2,Propel,How to purchase Brand Voucher,"To purchase e-vouchers or physical vouchers from the Propel Web platform, please follow these steps:
1.	Visit www.zagglepropel.com.
2.	Login using your email ID or mobile number along with your password or OTP.
3.	Click on ""Login"" button.
4.	Navigate to the ""Redeem"" section.
5.	Choose between e-voucher or physical voucher tabs. Select the desired category or search for brands on the search bar.
6.	Choose the denomination for the brand and click on ""Add to Cart"".
7.	Go to the cart.
8.	Verify the denomination and quantity in your cart.
9.	If applicable, add the delivery address for physical vouchers.
10.	Select the checkbox for ""Zaggle Propel Card"".
11.	Click on ""Place Order"".
12.	Optional: If you have insufficient points, select ""Other Payment Mode: Debit Card/Credit Card/Net Banking"". Click on ""Place Order"". You will be redirected to the payment gateway. Enter your mobile number, followed by UPI, card, or net banking details and click on ""Pay Now"".
13.	Upon successful order placement, a success message will be displayed.

To purchase e-vouchers or physical vouchers from the Zaggle mobile app, follow these steps:
1.	Login to the mobile app using OTP.
2.	Go to the home page of the Zaggle Mobile App.
3.	Tap on ""Zaggle Cards"" at the bottom of the page.
4.	Tap on ""Zaggle Propel Points"".
5.	Click on ""Redeem"".
15.	Filter by product type - E-Voucher or Physical Voucher and its corresponding category. Or search for the brand name on the search bar.
6.	Tap on the product image.
7.	Select the denomination for the corresponding brand and click on ""Add to Cart"".
8.	Go to the cart.
9.	Verify the denomination and quantity in your cart.
10.	If applicable, add the delivery address for physical vouchers.
11.	Click on ""View Details"" under Zaggle Pay Balance section.
12.	Select the checkbox for ""Zaggle Propel Points"".
13.	Click on ""Continue"".
14.	Optional: If you have insufficient points, click on ""Other Payment Mode: Debit/Credit Card/Net Banking or Mobikwik"". Click on ""Continue"". If another payment mode is selected, you will be redirected to the payment gateway. Enter your UPI or card or Net Banking details.
15.	Upon successful order placement, a success message will be displayed.
"
3,Save,How to start using Zaggle card,"To begin using your Zaggle Card, complete the Min-KYC process and verify with OTP. Set your POS PIN in card settings, adjust transaction limits in ""Manage Card Usage,"" and ensure your organization has loaded funds onto the respective wallet."
4,Save,Need to relink the card,"Your Zaggle Card is linked to your registered mobile number. If it is not linked, please contact your HR to update your mobile number for re-linking."
5,Save,Getting message as Invalid card number,"Please double-check the card number before entering. If the issue persists, contact our support team at care@zaggle.in or call at 18605001231. Monday to Saturday. 10 AM to 7.00 PM."
6,Save,Zaggle card is not working,"Apologies for the inconvenience. Please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday, 10 AM to 7.00 PM. With the following details:
a) Merchant Name
b) Transaction Date & Time
c) Transaction Details (e.g., error screenshot, etc.)
d) URN Number/Registered Mobile Number for further action."
7,Save,How to view urn number,"The URN Number is mentioned on the Welcome Kit cover provided to you. 
In the Zaggle Mobile App,click on Zaggle Cards at the bottom. Expand the Zaggle card view. The URN number is available below the masked card number details."
8,Save,How to withdraw money from zaggle card,"Cash can be withdrawn only from the expense wallet from any ATM, subject to funds availability. Each transaction, including balance enquiries and statement requests, incurs a charge of Rs. 30 + 18% GST."
9,EDGE,How to activate/Add Kuber Gift Card,"To activate or link your Zaggle Card, navigate to ""Zaggle Cards"" in the app, select ""Activate/Link your Zaggle Card"", and follow the prompts to enter your card number and OTP. Your card will be successfully added or linked to your account."
10,EDGE,Check the balance of the gift cards,"To check your Kuber Gift Card balance, go to the home page of the Zaggle Mobile App, tap on ""Zaggle Cards,"" select your card, and view the balance displayed."
11,Save,UPI payment from app,"
Currently, UPI payment options are not available. We are actively working to enhance our services and hope to offer this feature soon. Thank you for your trust in Zaggle!"
12,Save,Where I can use zaggle meal card,"The Zaggle meal card is accepted at all VISA/RuPay accepting food outlets, including online and offline stores, restaurants, and food courts. Examples include Bigbasket, D-Mart, supermarkets, Swiggy, Zomato and mroe.."
13,Save,Where zaggle Card can be used,"The Zaggle card is a prepaid card, that can be used at any VISA/Rupay merchant across India as per the card program. Please refer to the welcome letter for more details."
14,Save,What is status of KYC,"To check your KYC status, go to ""Zaggle Cards"" in the Zaggle Mobile App, select your card, and view the KYC status beneath the card."
15,Save,Where to view card on app,"To view your Zaggle Card, go to ""Zaggle Cards"" in the Zaggle Mobile App, select your card.
You can view the wallet wise balance. To view the card details to do online transactions, enter your MPIN for authentication. And view card details."
16,Save,How to update mobile number,"To update your mobile number, please send the details to care@zaggle.in. Our team will process your request promptly. Thank you!"
17,Save,How to add new card,"
1. IndusInd Kuber Gift Card
To activate or link your Zaggle Card, go to the Zaggle Mobile App home page, tap on ""Zaggle Cards,"" select ""Activate/Link your Zaggle Card,"" enter your card number, proceed with the OTP, and confirm.

2. Indus Bank Zinger Multiwallet card
You need to activate your card by completing the Min KYC and Card Activation process via the Zaggle Mobile App. Follow the prompts to enter your details, consent, and verify with OTP.

3. Yes Bank Zinger Multiwallet:
Complete the Yes Bank Account Registration and Min KYC process through the Zaggle Mobile App. Provide necessary details, consent to using your Aadhaar number, and submit to add your card."
18,Save,How to set Mpin,"To create or set an MPIN, follow these steps:

1. Go to ""Zaggle Cards"" in the Zaggle Mobile App.
2. Tap the settings icon.
3. Select ""Create MPIN.""
4. Enter your desired MPIN and answer the security questions.
5. Click ""Submit.""
Your MPIN will be successfully created!"
19,Save,How can I change IPIN?,"To change your IPIN, follow these steps:

1. Go to ""Zaggle Cards"" in the Zaggle Mobile App.
2. Select your card.
3. Tap the settings icon.
4. Choose ""Set IPIN.""
5. Enter the new IPIN and OTP.
6. Click ""Confirm.""
Your IPIN will be successfully updated!"
